"Installation Name","Program Name","Installation type","Year Energized",GeoCode,Address,City,State,Zip,"Project Status","Utility Name","Project Developer or Owner","Project Capacity KW-AC","System Size Category","LMI Share of Capacity","LMI Project Capacity KW-AC","LMI Requirement","Utility Type","Regulatory Structure","Energy Rate Average","Energy Rate Category","Community Solar Bill Credit Value","Community Solar Enabling Legislation","Value of State Level RECs & Subsidies","Eligible for Tax Benefits","LMI Customer Savings (category)","LMI Customer Savings %","Minimum LMI Savings Mandated","Potential # LMI Subscribers"
"130 Commerce Way Solar LLC",SMART,Roof,2022,"-71.15244596147832,42.47903018729555",,Woburn,Massachusetts,01801,Planned,"Eversource MA East","MassAmerican Energy LLC",250,"Less than 500 KW",51,128,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"1790 Swarthmore","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.1787164882322,40.07981390431246","1790 Swarthmore
Ave",Lakewood,"New Jersey",07840,Planned,"Jersey Central Power and Light (JCP&L)","Evergreen Energy, LLC",718,"500 KW to 1,999 KW",51,366,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,146
"1817 NJ Route
38","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.75264176254473,39.97537791048118","1817 NJ Route
38",Lumberton,"New Jersey",08048,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",954,"500 KW to 1,999 KW",51,486,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,195
"1850 U Street SE Apartments","DC Solar for All",Roof,2020,"-76.97836632032823,38.86477180031507","1850 U Street SE",Washington,"District of Columbia",20020,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",34,"Less than 500 KW",100,34,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,14
"1951 E Linden Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.23139623087283,40.647670784831654","1951 E Linden Avenue",Linden,"New Jersey",07036,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",678,"500 KW to 1,999 KW",51,346,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,138
"201 Oak Street Solar LLC",SMART,Roof,2022,"-70.80838748146589,42.0721541399515",,Pembroke,Massachusetts,,Planned,"National Grid (Massachusetts Electric)",,250,"Less than 500 KW",51,128,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"2130 Providence Highway Solar LLC",SMART,Roof,2022,"-71.24164228617295,42.11405356855977","2130 Providence Hwy, Walpole, MA 02081",Walpole,Massachusetts,02081,Planned,"Eversource MA East","MassAmerican Energy LLC",486,"Less than 500 KW",51,248,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,99
"22 Hollywood Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.11761571821486,41.00438821319494","22 Hollywood Avenue","Ho Ho Kus","New Jersey",07423,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",571,"500 KW to 1,999 KW",51,291,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,116
"283 Prospect Plains Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.48859042932482,40.329212317713726","283 Prospect Plains Road",Cranbury,"New Jersey",08512,Planned,"Public Service Electric and Gas (PSE&G)","Altus Power America Inc.",3846,"More than 2 MW",51,1962,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,785
"2900 Cindel Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.97918430845161,40.02647969115542","2900 Cindel Drive",Delran,"New Jersey",08075,Planned,"Public Service Electric and Gas (PSE&G)","Altus Power America Inc.",3846,"More than 2 MW",51,1962,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,785
"2nd Street NE","DC Solar for All",Roof,2020,"-77.00314332899183,38.89022426515475","202 East Capitol St NE",Washington,"District of Columbia",20003,Operational,"Potomac Electric Power Company (Pepco) DC","Flywheel Development",170,"Less than 500 KW",100,170,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,68
"301 Island Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.14785583355346,41.081275282030695","301 Island Road",Mahwah,"New Jersey",07430,Planned,"Rockland Electric Company","Altus Power America Inc.",1412,"500 KW to 1,999 KW",51,720,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,288
"301 Penhorn Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.06037448686116,40.767310060323275","301 Penhorn Avenue",Secaucus,"New Jersey",07094,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",373,"Less than 500 KW",51,190,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,76
"320 Route 17S Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.15471685258979,41.08746076090814","320 Route 17 S",Mahwah,"New Jersey",07072,Planned,"Rockland Electric Company","Altus Power America Inc.",635,"500 KW to 1,999 KW",51,324,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,130
"36 Newburgh Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.82710310657514,40.822537911771384","36 Newburgh Rd.",Hackettstown,"New Jersey",07840,Planned,"Jersey Central Power and Light (JCP&L)","Altus Power America Inc.",988,"500 KW to 1,999 KW",51,504,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,202
"3920 South Capitol St SE","DC Solar for All",Roof,2020,"-77.00777601139129,38.8321668311086","3920 South Capitol St SE",Washington,"District of Columbia",20032,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",94,"Less than 500 KW",100,94,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,38
"3986 Pennsylvania Ave SE Apartments","DC Solar for All",Roof,2020,"-76.94763314794054,38.86447983261456","3986 Pennsylvania Ave SE",Washington,"District of Columbia",20020,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",48,"Less than 500 KW",100,48,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,19
"400 Cabot Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.65504570290274,40.198490424693745","400 Cabot Drive",Trenton,"New Jersey",08691,Planned,"Public Service Electric and Gas (PSE&G)","Altus Power America Inc.",3846,"More than 2 MW",51,1962,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,785
"4020 S Capitol Street SE Apartments","DC Solar for All",Roof,2020,"-77.007610,38.830290","4020 S Capitol Street SE",Washington,"District of Columbia",20032,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",17,"Less than 500 KW",100,17,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,7
"501 Penhorn Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.06152175974225,40.76597489436016","501 Penhorn Avenue",Secaucus,"New Jersey",07094,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",509,"500 KW to 1,999 KW",51,260,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,104
"5112 Connecticut Ave NW Coop","DC Solar for All",Roof,2020,"-77.07110045154872,38.956334294582724","5112 Connecticut Ave NW",Washington,"District of Columbia",20008,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",70,"Less than 500 KW",100,70,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,28
"53 Jeffrey Ave Solar LLC",SMART,Roof,2022,"-71.42491042931918,42.20027176911977",,Holliston,Massachusetts,,Planned,"Eversource MA East",,250,"Less than 500 KW",51,128,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"55 Jiffy Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.5159110354228,40.48635489922406","55 Jiffy Road",Somerset,"New Jersey",08873,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",562,"500 KW to 1,999 KW",51,287,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,115
"552 Grand Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.0094960646306,40.83524252286489","552 Grand Avenue",Ridgefield,"New Jersey",07657,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",309,"Less than 500 KW",51,158,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,63
"560 Jefferson Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.06673141268062,40.77545122997469","560 Jefferson Avenue",Secaucus,"New Jersey",07094,Planned,"Public Service Electric and Gas (PSE&G)","Altus Power America Inc.",706,"500 KW to 1,999 KW",51,360,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,144
"57 N Johnston at Mill One","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.73486096753165,40.23195067566372","57 North Johnston Avenue",Hamilton,"New Jersey",08088,Planned,"Public Service Electric and Gas (PSE&G)","UGE USA,
Inc.",838,"500 KW to 1,999 KW",51,428,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,171
"601 Delran Pkwy","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.96789180630618,40.01409799847764","601 Delran Parkway",Delran,"New Jersey",08075,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",528,"500 KW to 1,999 KW",51,270,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,108
"601 Penhorn Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.06203649656119,40.76471735888454","601 Penhorn Avenue",Secaucus,"New Jersey",07094,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",202,"Less than 500 KW",51,103,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,41
"612 Plain Street Solar LLC",SMART,Roof,2022,"-70.7050703772755,42.091840499095134",,Marshfield,Massachusetts,,Planned,"Eversource MA East",,250,"Less than 500 KW",51,128,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"66 Winchester Solar LLC",SMART,Roof,2022,"-71.20814474630689,42.31769721497083","66 Winchester St",Newton,Massachusetts,02461,Planned,"Eversource MA East",,133,"Less than 500 KW",51,68,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,27
"6606 Georgia Ave NW Apartments","DC Solar for All",Roof,2020,"-77.02758439408198,38.97029522024531","6606 Georgia Ave NW",Washington,"District of Columbia",20012,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",22,"Less than 500 KW",100,22,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,9
"6616 Georgia Ave NW Apartments","DC Solar for All",Roof,2020,"-77.02774545164706,38.970588339927254","6616 Georgia Ave NW",Washington,"District of Columbia",20012,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",21,"Less than 500 KW",100,21,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,8
"6626 Georgia Ave NW Apartments","DC Solar for All",Roof,2020,"-77.02745119346376,38.97057775349525","6626 Georgia Ave NW",Washington,"District of Columbia",20012,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",21,"Less than 500 KW",100,21,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,8
"69 Mallory Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.09163346240312,40.717126423578506","69 Mallory Avenue","Jersey City","New Jersey",07304,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",469,"Less than 500 KW",51,239,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,96
"820 East Gate Dr","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.94880334524119,39.94469943026482","820 East Gate Drive","Mount Laurel","New Jersey",08054,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",823,"500 KW to 1,999 KW",51,420,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,168
"840-844 N Brightcore - Lenola Road","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.9914468799489,39.96925243342152","840-844 NLenola Road",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",411,"Less than 500 KW",51.00,209.00,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20.00,No,84
"991 Airport Rd Solar LLC",SMART,Roof,2022,"-71.14880741653329,41.69806449033717",,"Fall River",Massachusetts,,Planned,"National Grid (Massachusetts Electric)",,250,"Less than 500 KW",51,128,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,51
"Abrams Hall Apartments","DC Solar for All",Roof,2021,"-77.03078686450058,38.973741756270186","1322 Main Dr NW",Washington,"District of Columbia",20012,Operational,"Potomac Electric Power Company (Pepco) DC","Flywheel Development",100,"Less than 500 KW",100,100,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,40
"AC Power, LLC - Cinnaminson","New Jersey Community Solar Pilot Program Phase 1",Ground,2021,"-74.98433134154335,40.02090038450285","1001 Taylors Lane","Cinnaminson Township","New Jersey",08077,Operational,"Public Service Electric and Gas (PSE&G)","AC Power, LLC",1692,"500 KW to 1,999 KW",51,863,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,345
"AC Power, LLC - Deptford","New Jersey Community Solar Pilot Program Phase 1",Ground,2021,"-75.12798847777614,39.816740719475945","1680 Delsea Drive","Deptford Township","New Jersey",08096,Operational,"Public Service Electric and Gas (PSE&G)","AC Power, LLC",2031,"More than 2 MW",51,1036,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,414
"AC Power, LLC - Edison","New Jersey Community Solar Pilot Program Phase 1",Ground,2021,"-74.42960344189403,40.52376777830263","Meadow Road",Edison,"New Jersey",08837,Operational,"Public Service Electric and Gas (PSE&G)","AC Power, LLC",1000,"500 KW to 1,999 KW",51,510,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,204
"Adams Community Solar Garden","Solar Rewards Community CO",Ground,2015,"-104.587285,39.786696","4976 1/2 Imboden Rd",Bennett,Colorado,80102,Operational,"Public Service Company of Colorado (PSCo)",SunShare,3050,"More than 2 MW",8,254,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,102
"Advance Solar Products","New Jersey Community Solar Pilot Program Phase 1",Ground,2021,"-74.03265866898887,40.16801286045403","1821 Route 71","Wall Township","New Jersey",07762,Operational,jersey-central-power-and-light,"Advance Solar Products",1646,"500 KW to 1,999 KW",51,840,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,336
"Agilitas Auburn Community Solar",SMART,Ground,2021,"-71.790423,42.219264","Nippanap Trail",Auburn,Massachusetts,01607,Planned,"National Grid (Massachusetts Electric)","Agilitas Energy",3000,"More than 2 MW",51,1530,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,612
"Amp Grand Island Solar Installation","Solar For All (NY-Sun)",Ground,2019,"-78.952225,43.028823","Whitehaven Rd","Grand Island","New York",14072,Operational,"National Grid (Western NY)","BlueRock Energy Solar, Inc.",2100,"More than 2 MW",48,1008,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.18,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,Yes,403
"Antonito Solar LLC","Solar Rewards Community CO",Ground,2014,"-106.005216,37.071165","Highway 14",Antonito,Colorado,81120,Operational,"Public Service Company of Colorado (PSCo)","Community Energy ",385,"Less than 500 KW",5,19,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,No,8
"Anza Solar Farm","Santa Rosa Solar Project",Ground,2021,"-116.547661,33.552087","65200 CA-74,","Mountain Center",California,92561,Operational,"Anza Electric Cooperative, Inc (AEC)","Anza Electric Cooperative, Inc (AEC)",750,"500 KW to 1,999 KW",100,760,"Income eligible only","Cooperative utility",Deregulated,0.2,"High = more than $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",No,"Moderate = 20% to 50%",25,No,200
"Arapahoe Community Solar Garden I LLC","Solar Rewards Community CO",Ground,2015,"-104.585429,39.784879","5061 1/2 Imboden Rd",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)",SunShare,384,"Less than 500 KW",5,20,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,8
"Atlantic County Utilities Authority","New Jersey Community Solar Pilot Program Phase 1",Ground,2021,"-74.54281688847912,39.416509873852135","6700 Deiliah Road","EGG Harbor Township","New Jersey",08234,Operational,atlantic-city-electric,"Atlantic County Utility Authority",1538,"500 KW to 1,999 KW",51,785,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,314
